id,name,ticker,exchange,country,layer,tier,chokepoint,source
co:synopsys,Synopsys,SNPS,NASDAQ,US,EDA,1,true,guide
co:cadence,Cadence Design Systems,CDNS,NASDAQ,US,EDA,1,true,guide
co:siemens,Siemens,SIE.DE,XETRA,DE,EDA,2,false,guide
co:keysight,Keysight Technologies,KEYS,NYSE,US,EDA,3,false,https://finance.yahoo.com/quote/KEYS
co:empyrean,Empyrean Technology,301269.SZ,SZSE,CN,EDA,3,false,https://finance.yahoo.com/quote/301269.SZ
co:silvaco,Silvaco Group,SVCO,NASDAQ,US,EDA,3,false,https://finance.yahoo.com/quote/SVCO
co:primarius,Primarius Technologies,688206.SS,SSE,CN,EDA,3,false,https://finance.yahoo.com/quote/688206.SS
co:arm,Arm Holdings,ARM,NASDAQ,GB,IP,1,false,https://finance.yahoo.com/quote/ARM
co:rambus,Rambus,RMBS,NASDAQ,US,IP,2,false,https://finance.yahoo.com/quote/RMBS
co:ceva,CEVA,CEVA,NASDAQ,US,IP,2,false,https://finance.yahoo.com/quote/CEVA
co:andes,Andes Technology,6533.TW,TWSE,TW,IP,3,false,https://finance.yahoo.com/quote/6533.TW
co:verisilicon,VeriSilicon,688521.SS,SSE,CN,IP,3,false,https://finance.yahoo.com/quote/688521.SS
co:arteris,Arteris,AIP,NASDAQ,US,IP,3,false,https://finance.yahoo.com/quote/AIP
co:asml,ASML,ASML,NASDAQ,NL,Equipment,1,true,guide
co:applied_materials,Applied Materials,AMAT,NASDAQ,US,Equipment,2,false,guide
co:lam_research,Lam Research,LRCX,NASDAQ,US,Equipment,2,false,guide
co:kla,KLA,KLAC,NASDAQ,US,Equipment,2,false,guide
co:tokyo_electron,Tokyo Electron,8035.T,TSE,JP,Equipment,2,false,guide
co:asm_international,ASM International,ASM.AS,Euronext Amsterdam,NL,Equipment,2,false,https://finance.yahoo.com/quote/ASM.AS
co:advantest,Advantest,6857.T,TSE,JP,Equipment,2,false,https://finance.yahoo.com/quote/6857.T
co:teradyne,Teradyne,TER,NASDAQ,US,Equipment,2,false,https://finance.yahoo.com/quote/TER
co:screen,SCREEN Holdings,7735.T,TSE,JP,Equipment,2,false,https://finance.yahoo.com/quote/7735.T
co:nikon,Nikon,7731.T,TSE,JP,Equipment,2,false,https://finance.yahoo.com/quote/7731.T
co:canon,Canon,7751.T,TSE,JP,Equipment,3,false,https://finance.yahoo.com/quote/7751.T
co:besi,BE Semiconductor Industries,BESI.AS,Euronext Amsterdam,NL,Equipment,2,false,https://finance.yahoo.com/quote/BESI.AS
